algorithm,n,type,time_ms
std_quick,1700,reverse,6.3498
std_merge,1700,reverse,3.3302
ternary_quick,1700,reverse,2.7456
msd,1700,reverse,1.4986
msd_hybrid,1700,reverse,0.8226
string_merge,1700,reverse,1.8182
std_quick,1800,reverse,6.6626
std_merge,1800,reverse,3.4574
ternary_quick,1800,reverse,2.9178
msd,1800,reverse,1.6418
msd_hybrid,1800,reverse,0.9034
string_merge,1800,reverse,1.9604
std_quick,1900,reverse,7.1866
std_merge,1900,reverse,3.7156
ternary_quick,1900,reverse,3.1262
msd,1900,reverse,1.792
msd_hybrid,1900,reverse,0.9886
string_merge,1900,reverse,2.0388
std_quick,2000,reverse,7.5788
std_merge,2000,reverse,3.878
ternary_quick,2000,reverse,3.3354
msd,2000,reverse,1.9318
msd_hybrid,2000,reverse,1.125
string_merge,2000,reverse,2.1868
std_quick,2100,reverse,7.8492
std_merge,2100,reverse,4.1486
ternary_quick,2100,reverse,3.5106
msd,2100,reverse,2.0154
msd_hybrid,2100,reverse,1.1768
string_merge,2100,reverse,2.2972
std_quick,2200,reverse,8.3252
std_merge,2200,reverse,4.3764
ternary_quick,2200,reverse,3.6296
msd,2200,reverse,2.2316
msd_hybrid,2200,reverse,1.2542
string_merge,2200,reverse,2.3974
std_quick,2300,reverse,8.6538
std_merge,2300,reverse,4.5342
ternary_quick,2300,reverse,3.766
msd,2300,reverse,2.2768
msd_hybrid,2300,reverse,1.3366
string_merge,2300,reverse,2.5072
std_quick,2400,reverse,8.9846
std_merge,2400,reverse,4.7634
ternary_quick,2400,reverse,3.9702
msd,2400,reverse,2.4326
msd_hybrid,2400,reverse,1.4352
string_merge,2400,reverse,2.635
std_quick,2500,reverse,9.4848
std_merge,2500,reverse,4.9876
ternary_quick,2500,reverse,4.1988
msd,2500,reverse,2.5414
msd_hybrid,2500,reverse,1.5316
string_merge,2500,reverse,2.7406
std_quick,2600,reverse,9.8644
std_merge,2600,reverse,5.238
ternary_quick,2600,reverse,4.3624
msd,2600,reverse,2.7282
msd_hybrid,2600,reverse,1.6182
string_merge,2600,reverse,2.8448
std_quick,2700,reverse,10.813
std_merge,2700,reverse,5.4676
ternary_quick,2700,reverse,4.527
msd,2700,reverse,2.8502
msd_hybrid,2700,reverse,1.7428
string_merge,2700,reverse,2.9676
std_quick,2800,reverse,10.8352
std_merge,2800,reverse,5.8132
ternary_quick,2800,reverse,4.7022
msd,2800,reverse,3.009
msd_hybrid,2800,reverse,1.8334
string_merge,2800,reverse,3.1112
std_quick,2900,reverse,11.0376
std_merge,2900,reverse,6.004
ternary_quick,2900,reverse,5.0016
msd,2900,reverse,3.1128
msd_hybrid,2900,reverse,1.9744
string_merge,2900,reverse,3.2026
std_quick,3000,reverse,11.5404
std_merge,3000,reverse,6.0824
ternary_quick,3000,reverse,5.096
msd,3000,reverse,3.334
msd_hybrid,3000,reverse,2.0278
string_merge,3000,reverse,3.3344
std_quick,100,almost_sorted,0.3578
std_merge,100,almost_sorted,0.1394
ternary_quick,100,almost_sorted,0.0398
msd,100,almost_sorted,0.1418
msd_hybrid,100,almost_sorted,0.0182
string_merge,100,almost_sorted,0.0952
std_quick,200,almost_sorted,0.7228
std_merge,200,almost_sorted,0.3076
ternary_quick,200,almost_sorted,0.1082
msd,200,almost_sorted,0.2822
msd_hybrid,200,almost_sorted,0.0384
string_merge,200,almost_sorted,0.1968
std_quick,300,almost_sorted,1.084
std_merge,300,almost_sorted,0.4798
ternary_quick,300,almost_sorted,0.188
msd,300,almost_sorted,0.3574
msd_hybrid,300,almost_sorted,0.0612
string_merge,300,almost_sorted,0.3014
